"Publisher Name","Publisher Registry ID","2014
Reference Spend Value","2014
Reference Spend Source URL","2014
Accounting Year
","2014 Account Narrative/s used","2015
Reference Spend Value","2015
Reference Spend Source URL","2015
Accounting Year
","2015 Account Narrative/s used","2015
Official Forecast","Currency code","Data error 
reported"
"Alcis Holdings Limited","alcis","NO DATA",,,,"NO DATA",,,,,,
"Alfalit","alfalit","NO DATA","http://english.alfalit.org/about-alfalit/#financial",,"Says to email to request financials, address at link","NO DATA",,,,,,
"All We Can (formerly Methodist Relief and Development Fund)","allwecan",2274871,"http://apps.charitycommission.gov.uk/Accounts/Ends91/0000291691_AC_20140831_E_C.pdf",,"Non-calendar year ended 31st August 2014, sum of charitable activities, page 22 of report",2390000,"http://apps.charitycommission.gov.uk/Accounts/Ends91/0000291691_AC_20150831_E_C.pdf",,"Non-calendar year ended 31st August 2015, charitable activities from charity commission summary",,"GBP",
"Amref Flying Doctors","amrefnl",13177644,"https://www.amref.nl/images/actueel/publicaties/jaaroverzicht-2014-amref-flying-doctors.pdf",,"p.6 'Onze doelstelling: betere gezondheid in Afrika' as advised by the publisher",,,,,,,
"Amref Health Africa - UK","amrefha",3690000,"http://apps.charitycommission.gov.uk/Accounts/Ends88/0000261488_AC_20140930_E_C.pdf",,"Non-calendar year ended 30th September 2014, charitable activities from charity commission summary",,,,,,"GBP",
"ANDA","anda","NO DATA",,,"Can't easily locate organisation","NO DATA",,,,,,
"Anti-Slavery International","asil",1710000,"http://apps.charitycommission.gov.uk/Accounts/Ends60/0001049160_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"APT Action on Poverty","apt",1260000,"http://apps.charitycommission.gov.uk/Accounts/Ends36/0000290836_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Aqua for All","aqua4all",3434440,"http://aquaforall.org/wp-content/uploads/2014/09/Annual-Report-2014-Aqua-for-All.pdf",,"Expenditure - projects, page 38 of report",,,,,,"EUR",
"ARK (Absolute Return for Kids)","ark",13210000,"http://apps.charitycommission.gov.uk/Accounts/Ends22/0001095322_AC_20140831_E_C.pdf",,"Non-calendar year ended 31st August 2014, charitable activities from charity commission summary",,,,,,"GBP",
"Article19","art19",3977401,"http://apps.charitycommission.gov.uk/Accounts/Ends21/0000327421_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Asian Development Bank","asdb",8912000000,"http://www.adb.org/sites/default/files/institutional-document/157524/defr-2014-report.pdf",,"total sovereign disbursements as declared on Table 9 on page 40",,,,,,"USD",
"Association for Reproductive and Family Health","arfh","NO DATA","http://arfh-ng.org/",,"Can't locate any reports","NO DATA",,,,,,
"Atos IT Services Ltd","atosuk","NO DATA",,,"Private sector","NO DATA",,,,,,
"Australia - Department of Foreign Affairs and Trade","ausgov",3287257480,"DAC*",,"Australian government",,,,,,"USD",
"Avocats Sans Frontières","asf",3866541,"http://www.asf.be/wp-content/uploads/2015/09/ASF_AnnualReport2014_EN.pdf",,"Services and other goods, page 65 of report",,,,,,"EUR",
"Backward Society Education (BASE)","base_22","NO DATA",,,"No report for 2014 located, but see 2015",192633005,"http://nepalbase.org/wp-content/uploads/2015/04/Audit-report1.jpg",,"Non-calendar year ended 16th July 2015, expenditure incurred in different projects",,"NPR",
"BasicNeeds","basicneeds",1550000,"http://apps.charitycommission.gov.uk/Accounts/Ends99/0001079599_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"BBC Media Action","bbcmediaaction",46222000,"http://downloads.bbc.co.uk/mediaaction/annualreports/2014-15.pdf",,"Non-calendar year ended 31st March 2015, charitable activities",,,,,,"GBP",
"Bees Abroad UK","bauk",131594,"http://apps.charitycommission.gov.uk/Accounts/Ends64/0001108464_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Bees for Development Trust","beesfordevelopment","NO DATA","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=1078803&SubsidiaryNumber=0",,"153633 - Non-calendar year ended 30th April 2015, full report not yet published for this year (and not found on website) so this spend includes operational costs.","NO DATA",,,,,"GBP",
"Belgian Development Cooperation","be-dgd",872069572.8,"DAC*",,"Directorate General for Co-operation and Development",,,,,,"USD","Y"
"Bill & Melinda Gates Foundation","bmgf",288000000,"DAC*",,"More up to date figure provided by publisher",,,,,,"USD",
"Bioclimate Research and Development","bioclimate","NO DATA","http://www.brdt.org/annual-reports",,"No report available for 2014 (most recent is majority 2013)","NO DATA",,,,,"-",
"Blue Ventures Conservation","blueventures",1190000,"http://apps.charitycommission.gov.uk/Accounts/Ends93/0001098893_AC_20150630_E_C.pdf",,"Non-calendar year ended 30th June 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Bond","bond",2850000,"http://apps.charitycommission.gov.uk/Accounts/Ends39/0001068839_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"BRAC International","bracintl",57844006,"http://www.brac.net/sites/default/files/portals/bi/Final%20Audit%202014%20SBI%20Consolidated%20Financial%20Statements%202014.pdf",,"Total operating expenses, page 10 of report (not clear if any of these costs should not be included)",,,,,,"EUR",
"British Council","britishcouncil",965530000,"http://apps.charitycommission.gov.uk/Accounts/Ends31/0000209131_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities as recorded by the charity commission. Is this correct? Is for all charitable activities, not just development ones",,,,,,"GBP",
"British Red Cross","gb-chc-220949",180700000,"http://apps.charitycommission.gov.uk/Accounts/Ends49/0000220949_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Build Africa","buildafrica",2220000,"http://apps.charitycommission.gov.uk/Accounts/Ends16/0000298316_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Camfed International","camfed",26510000,"http://apps.charitycommission.gov.uk/Accounts/Ends61/0001029161_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Canada - Global Affairs Canada | Affaires mondiales Canada","gac-amc",2495862096,"DAC*",,"Department of Foreign Affairs, Trade and Development",,,,,,"USD",
"Canada - International Development Research Centre/Centre de recherches pour le développement international","idrccrdi",193403814.5,"DAC*",,"International Development Research Centre",,,,,,"USD",
"Canada Department of Finance / Ministère des Finances Canada","finance_canada",35126000000,"https://www.fin.gc.ca/afr-rfa/2015/report-rapport-eng.asp#toc3",,"Direct program expenses - Other transfer payments",,,,,,"USD",
"Canon Collins Trust","canoncollinstrust",1280000,"http://apps.charitycommission.gov.uk/Accounts/Ends28/0001102028_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"CARE International UK","ciuk",39980000,"http://apps.charitycommission.gov.uk/Accounts/Ends06/0000292506_AC_20140630_E_C.pdf",,"Non-calendar year ended 30th June 2014 (so technically for the previous year, but very close, and nothing more recent published), charitable activities from charity commission summary",,,,,,"GBP",
"Carers Worldwide","cww",61608,"http://apps.charitycommission.gov.uk/Accounts/Ends14/0001150214_AC_20141231_E_C.pdf",,"Total resources expended minus governance costs",,,,,,"GBP",
"Catholic Agency For Overseas Development","cafod",46931000,"http://cafod.org.uk/content/download/27347/269712/version/1/file/Report%20of%20the%20Trustees%20and%20Financial%20Statements%202015.pdf",,"Non-calendar year ended 31st March 2015, sum of charitable activities",,,,,,"GBP",
"Catholic Relief Services","crs_vyf",599279000,"http://www.crs.org/sites/default/files/CRS_2014_AR.pdf",,"Program services, page 32 of report",,,,,,"USD",
"CDA Collaborative Learning Projects","cda","NO DATA","http://cdacollaborative.org/wordpress/wp-content/uploads/2016/02/CDA-Audit-FY2014.pdf",,"No up-to-date annual report, only up to May 2014","NO DATA",,,,,,
"CDC Group plc","cdc",296800000,"http://www.cdcgroup.com/Documents/Financial%20Publications/CDC_AnnualAccounts2014.pdf",,"Total for new commitments (page 3)","NO DATA",,,,,,
"Cecily's Fund","cecily",593300,"http://apps.charitycommission.gov.uk/Accounts/Ends60/0001071660_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Centre for Indian Knowledge Systems","ciks","NO DATA","http://www.ciks.org/index.htm",,"Can't track down financial report","NO DATA",,,,,,
"Charity Projects Ltd (Comic Relief)","cprojects","NO DATA",,,,"NO DATA",,,,,,
"Child-to-Child","ctc","NO DATA",,,,"NO DATA",,,,,,
"ChildFund International","childfund",211415154,"https://www.childfund.org/uploadedFiles/NewCF/Impact/Knowledge_Center/2015%20issued%20financials.pdf",,"Non-calendar year ended 30th June 2015, total program",,,,,,"USD",
"ChildHope UK","childhopeuk",2150000,"http://apps.charitycommission.gov.uk/Accounts/Ends34/0000328434_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Children in Crisis","cic",1660000,"http://apps.charitycommission.gov.uk/Accounts/Ends88/0001020488_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Christian Aid","caid",79062000,"http://apps.charitycommission.gov.uk/Accounts/Ends51/0001105851_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Christian Engineers in Development","ced",125166,"http://apps.charitycommission.gov.uk/Accounts/Ends34/0000293734_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities - costs associated with engineering activities, page 9 of report",,,,,,"GBP",
"CIFAL Scotland","cifal",212738,"http://www.cifalscotland.org/docs/CIFALScotland_Accounts_YearEnd_30September2015.pdf",,"Non-calendar year ended 30th September 2014, charitable activities (NB the link is misnamed 2015 but the report it linked to is 2014)",,,,,,"GBP",
"Climate Investment Funds","cif",566800000,"DAC",,"Summed totals of CTF & SCF as provided by CIF and reported to the OECD DAC",,,,,,"USD",
"CODA International","coda","NO DATA",,,,"NO DATA",,,,,,
"Coffey International Development","coffey","NO DATA",,,,"NO DATA",,,,,,
"Concern Universal","cu",22330588,"http://concern-universal.org/wp-content/uploads/2014/07/CU-FINAL-Full-accounts-2014.pdf",,"p.47 Total spending",18460490,"https://concern-universal.org/what-we-do/finances/",,"Document soon to be available from https://concern-universal.org/what-we-do/finances/",,"GBP",
"Concern Worldwide UK","concernuk",20060000,"http://apps.charitycommission.gov.uk/Accounts/Ends36/0001092236_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Conciliation Resources","cr",5640000,"http://apps.charitycommission.gov.uk/Accounts/Ends36/0001055436_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Cord","cord",2810000,"http://apps.charitycommission.gov.uk/Accounts/Ends84/0001070684_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Cordaid","cordaid",172563000,"https://www.cordaid.org/media/medialibrary/2015/05/Cordaid-Annual_Report_2014.pdf",,"Spent on objectives, page 51 of report",,,,,,"EUR",
"CRANE","crane","NO DATA",,,,"NO DATA",,,,,,
"Crown Agents Limited","cal","NO DATA",,,,"NO DATA",,,,,,
"CUAMM Trustees","cuammtrustees","NO DATA",,,,"NO DATA",,,,,,
"Cyan International","cyan",102898,"http://apps.charitycommission.gov.uk/Accounts/Ends03/0001129603_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"DAI Europe","dai-e","NO DATA",,,"Directly from publisher, awaiting public resource link",44786033,,,"Directly from publisher, awaiting public resource link",,"GBP",
"Denmark - Danida - Danish Ministry of Foreigh Affairs","danida",1968023263,"DAC*",,"Ministry of Foreign Affairs ",,,,,,"USD",
"Desmond Tutu HIV Foundation","dthfxx12","NO DATA",,,,"NO DATA",,,,,,
"Development Aid from People to People (DAPP) Malawi","dapp","NO DATA",,,,"NO DATA",,,,,"-",
"Development Initiatives Poverty Research","dipr","NO DATA",,,,"NO DATA",,,,,,
"Developments In Literacy Trust UK","diltuk","NO DATA",,,,"NO DATA",,,,,,
"Digital Campus","dc",57252.73,,,"Figures directly from publisher, awaiting publicly accessible resource",123710.66,,,"Figures directly from publisher, awaiting publicly accessible resource",,"GBP",
"Disability and Development Partners","ddp",653500,"http://apps.charitycommission.gov.uk/Accounts/Ends01/0001046001_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Disability Rights Fund","drf",3503892,"http://www.disabilityrightsfund.org/files/2014_drf_annual_report_reduced_size.pdf",,"Program expenditure for Disability Rights Fund and Disability Rights Advocacy Fund, pages 25&26 of report",,,,,,"USD",
"Discovery Learning Alliance, Inc.","dla",9228576,"http://www.discoverylearningalliance.org/wp-content/uploads/Audit-Report-2014.pdf",,"Programme services, page 5 of report",,,,,,"USD",
"Dóchas - Irish Association of Non Governmental Development Organisations","dochas",371256,"http://www.dochas.ie/sites/default/files/Dochas-Accounts-year-ended-31.12.2014-for-web-final.pdf",,"Charitable activities, page 18 of report",,,,,,"EUR",
"Emmanuel International UK","eiuk",352232,"http://apps.charitycommission.gov.uk/Accounts/Ends36/0000289036_AC_20140930_E_C.pdf",,"Non-calendar year ended 30th September 2014, charitable activities, page 9 of report",,,,,,"GBP",
"EMMS International","emms",1067805,"https://www.emms.org/files/8614/3556/3978/EMMS_INTERNATIONAL_Annual_Report_2014.pdf",,"Charitable activities, page 14 of report",,,,,,"GBP",
"Engineers Without Borders Canada","ewb_canada",3507525,"https://www.ewb.ca/sites/default/files/2014%20EWB%20Annual%20Report_Web_FINAL.pdf",,"Non-calendar year ended 31st October 2014, total expenses minus fundraising and management and administration, page 21 of report",,,,,,"CAD",
"Ethical Trading Initiative","eti",657431,"http://www.ethicaltrade.org/resources?tid_1=All&tid_4=222&field_about_membership__value=All&taxonomy_vocabulary_7_tid=All",,"Spend on programmes from accounts ",,,,,,"GBP",
"European Bank for Reconstruction and Development","ebrd",8853000000,"http://www.ebrd.com/publications/annual-report",,"Figure for annual bank investment",9378000000,"http://www.ebrd.com/news/2016/ebrd-responds-to-financing-challenges-with-record-2015-investments.html",,"Figure for annual bank investment",,"EUR",
"European Commission - Development and Cooperation-EuropeAid","ec-devco",10171000000,"https://ec.europa.eu/europeaid/sites/devco/files/2015-annual-report-web_en.pdf",,"Total ODA disbursements, page 25 of report",,,,,,"EUR",
"European Commission - Humanitarian Aid & Civil Protection","ec-echo",1230293216,"http://ec.europa.eu/echo/files/funding/agreements/agreements_2014.pdf",,"Total new contracts and amendments, final page",1313489800,"http://ec.europa.eu/echo/files/funding/agreements/agreements_2015.pdf",,"Total new contracts and amendments, final page",,"EUR",
"European Commission - Neighbourhood and Enlargement Negotiations","ec-near","NO DATA",,,,"NO DATA",,,,,,
"European Commission - Service for Foreign Policy Instruments","ec-fpi","NO DATA",,,,"NO DATA",,,,,,
"European Investment Bank","eib",5793387266,"DAC*",,"EU Institutions, European Investment Bank",,,,,,"USD",
"EveryChild","evc",4150000,"http://apps.charitycommission.gov.uk/Accounts/Ends79/0001089879_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Excellent Development","excellent","NO DATA",,,,"NO DATA",,,,,,
"Exeter Ethiopia Link","eel",41720.44,"http://apps.charitycommission.gov.uk/Accounts/Ends85/0001154085_AC_20141231_E_C.pdf",,"Projects sub-totals, page 3 of report",,,,,,"GBP",
"Fairfood International","fairfood",1950632,"http://www.fairfood.org/wp-content/uploads/2016/01/Annual_report_2014M-2.pdf",,"Expenses, minus depreciation and promotion costs, page 22 of report",,,,,,"EUR",
"Fairtrade Labelling Organizations International e.V.","fairtrade_international",12340240,"http://annualreport.fairtrade.net/en/fairtrade-internationals-financials/",,"74% of total expenditure (accounting for 8% brand, communications and fundraising, and 18% governance and global resources)",,,,,,"EUR",
"Farm Africa","fa",11035000,"http://www.farmafrica.org/downloads/resources/2014-annual-report---accounts-signed.pdf",,"Total costs of charitable activity, page 29 of report",,,,,,"GBP",
"Fauna & Flora International","ffi_publisher",15550000,"http://apps.charitycommission.gov.uk/Accounts/Ends02/0001011102_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Feed the Minds","ftm-291333",935900,"http://apps.charitycommission.gov.uk/Accounts/Ends33/0000291333_AC_20150430_E_C.pdf",,"Non-calendar year ended 30th April 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Find Your Feet","fyf",1250000,"http://apps.charitycommission.gov.uk/Accounts/Ends56/0000250456_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Finland - Ministry of Foreign Affairs","finland_mfa",863605643,"DAC*",,"Ministry of Foreign Affairs",,,,,,"USD",
"Food for the Hungry UK","fh",725400,"http://apps.charitycommission.gov.uk/Accounts/Ends73/0000328273_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Forests Monitor","fm","NO DATA",,,,"NO DATA",,,,,,
"France - Ministry of Foreign Affairs and International Development","france","NO DATA",,,,"NO DATA",,,,,,
"FRANK Water","frankwater",325887,"http://apps.charitycommission.gov.uk/Accounts/Ends73/0001121273_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities, page 23 of report",,,,,,"GBP",
"Free a Girl","freeagirl",1290415,"https://www.freeagirl.nl/wp-content/uploads/2014/03/Annual-Report-2014_spreads_XS.pdf",,"Spent on objectives, page 50 of report",,,,,,"EUR",
"Freedom Forum","ff","NO DATA",,,,"NO DATA",,,,,"-",
"Friends of Kipkelion","kipkelion",112970,"http://apps.charitycommission.gov.uk/Accounts/Ends76/0001142476_AC_20150530_E_C.pdf",,"Non-calendar year ended 31st May 2015, grants to projects in Kipkelion, page 7 of report",,,,,,"GBP",
"Friends of the Earth England, Wales and Northern Ireland","foe_ewni",6775311,"https://www.foe.co.uk/what_we_do/about_us/friends_earth_funded",,"Using Trust Annual accounts. Year ended 31st May 2015. Charitable activities",,,,,,"GBP",
"Friends of the Earth-Ghana","foe-ghana","NO DATA",,,,"NO DATA",,,,,,
"GAVI Alliance","gavi",1477176000,"http://www.gavi.org/Library/GAVI-documents/Finance/Financial-reports/2014/GAVI-Alliance-Annual-Financial-Report/",,"Expenses - programme, page 22 of report",,,,,,"USD",
"GEMS Education Solutions","mgcubed","NO DATA",,,,"NO DATA",,,,,,
"Gender Links","gl","NO DATA",,,,"NO DATA",,,,,,
"Germany - Ministry for Economic Cooperation and Development","bmz",10591557381,"DAC*",,"BMZ+KFW only (no GIZ)",,,,,,"USD","Y"
"Girls’ Education Challenge – Fund Manager PwC","gecfundmanagerpwc","NO DATA",,,,"NO DATA",,,,,"GBP",
"Global Action Nepal","gan","NO DATA",,,,"NO DATA",,,,,,
"Global Partnership for Education","gpe",2833300000,"http://www.globalpartnership.org/download/file/fid/49648",,"Total projects outflows, page 4 of report",,,,,,"USD",
"GlobalGiving.org","globalgiving",27471771,"https://www.globalgiving.org/aboutus/media/GGF-Consolidated-Financial-Statement-2014.pdf",,"publisher requested we use ""project distributions' on page 6 of the report
",,,,,,"USD",
"GOAL","goal",105774000,"https://www.goalglobal.org/assets/report/pdf/GOAL%20Annual%20Report%202014.pdf",,"Charitable activities, page 64 of report",,,,,,"EUR",
"Grow Movement","growmovement_admin",105138,"http://apps.charitycommission.gov.uk/Accounts/Ends83/0001139083_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, sum of direct and support costs for charitable activities, page 29 of report",,,,,,"GBP",
"Habitat for Humanity Great Britain","hfhgb",2720000,"http://apps.charitycommission.gov.uk/Accounts/Ends41/0001043641_AC_20150630_E_C.pdf",,"Non-calendar year ended 30th June 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Hagar International UK","hagar_uk",3706649,"https://hagarinternational.org/united-kingdom/files/HAGAR-AR-2014-final.pdf",,"Programme services, page 18 of report",,,,,,"USD",
"Haiti Hospital Appeal","hha",454300,"http://apps.charitycommission.gov.uk/Accounts/Ends28/0001117528_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Hand in Hand International","handinhand",4680000,"http://apps.charitycommission.gov.uk/Accounts/Ends68/0001113868_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Handicap International","hifed",7100000,"http://apps.charitycommission.gov.uk/Accounts/Ends65/0001082565_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Health Poverty Action","hpa",13866691,"https://www.healthpovertyaction.org/wp-content/uploads/2012/06/Annual-Report-2014-15_FINAL-_signed_web.pdf",,"Non-calendar year ended 31st March 2015, charitable activities",,,,,,"GBP",
"HealthProm","hp_12",633800,"http://apps.charitycommission.gov.uk/Accounts/Ends59/0001100459_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Heifer","heifer",94786428,"http://9dc3f407a257cfd3f7ea-d14ef12e680aa00597bdffb57368cf92.r6.cf2.rackcdn.com/about/inside-heifer/financial/Annual_Report_2015.pdf",,"Non-calendar year ended 30th June 2015, program services",,,,,,"USD",
"Heifer International South Africa","hsa",9293104,"http://www.heifer.org.za/assets/attachments/heifer_ar_email-1.pdf",,"Non-calendar year ended 30th June 2014 (so technically for the previous year, but very close, and nothing more recent published), programme expenditures",,,,,,"ZAR",
"HelpAge International","helpage_international",25802000,"http://www.helpage.org/download/565730f32d47e/",,"Non-calendar year ended 31st March 2015, 97% of total expenditure to account for fundraising and goverance (as per report)",,,,,,"GBP",
"HelpAge International UK","ageintl",14434000,"https://www.ageinternational.org.uk/Documents/Annual_Report_Age_International_2014_2015.pdf",,"Non-calendar year ended 31st March 2015, sum of charitable activities, page 18 of report",,,,,,"GBP",
"Hilfswerk Austria Zimbabwe","hwa-zm","NO DATA",,,,"NO DATA",,,,,,
"Hivos","stichting_hivos","NO DATA",,,,"NO DATA",,,,,,
"Homeless International","hi",5320000,"http://apps.charitycommission.gov.uk/Accounts/Ends55/0001017255_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"Hope and Homes for Children","hhc",6280000,"http://apps.charitycommission.gov.uk/Accounts/Ends90/0001089490_AC_20141231_E_C.pdf",,"Charitable activities from charity commission summary",,,,,,"GBP",
"Hospice Africa Ltd","hauk",188134,"http://apps.charitycommission.gov.uk/Accounts/Ends03/0001024903_AC_20150331_E_C.pdf",,"Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,"GBP",
"HTSPE","htspe","NO DATA",,,,"NO DATA",,,,,,
"I Choose Life Africa","ke-ngc-3372","NO DATA",,,,"NO DATA",,,,,,
